EmployeeID,SpecialtyID
7675-1,7001
2600-1,7001
2600-2,7001
4950-2,7001
5990-1,7002
5990-2,7002
6063-1,7002
6063-2,7002
2600-1,7002
2600-2,7002
2030-1,7003
2030-2,7003
7650-1,7003
9028-1,7003
7690-1,7003
8200-1,7003
7610-1,7003
7610-2,7003
4600-1,7003
2170-1,7003
5900-1,7003
4950-2,7003
2600-1,7003
5990-1,7004
2600-1,7004
8900-2,7005
3850-1,7005
8000-1,7005
2650-1,7006
8000-1,7006
3300-1,7007
6800-1,7007
6800-2,7007
2170-1,7007
2600-1,7007
5300-1,7008
5300-2,7008
3300-1,7008
6800-1,7008
6800-2,7008
3850-1,7008
4600-1,7008
5900-1,7008
2170-1,7008
7675-2,7009
3800-1,7009
3850-2,7009
4950-1,7009
7675-1,7009
5300-1,7009
5300-2,7009
3300-1,7009
6800-1,7009
6800-2,7009
3850-1,7009
4600-1,7009
5900-1,7009
4950-2,7009
2170-1,7009
2600-1,7009
4300-1,7010
4300-2,7010
5550-1,7010
7700-1,7010
2030-1,7010
7690-1,7010
3800-1,7010
4950-1,7010
7675-1,7010
5300-1,7010
5300-2,7010
8000-1,7010
3300-1,7010
6800-1,7010
6800-2,7010
3850-1,7010
5900-1,7010
2170-1,7010
2600-1,7010
6300-1,7012
4850-1,7012
7675-1,7012
8000-1,7012
3850-1,7012
6500-1,7013
3850-2,7013
4950-1,7013
3850-1,7013
2600-1,7013
3525-1,7014
5990-1,7014
5300-1,7014
2600-1,7014
2600-1,7015
3525-2,7016
5350-1,7016
6000-1,7016
4300-1,7016
4300-2,7016
3850-2,7016
2600-2,7016
4950-2,7016
6800-2,7016
5900-1,7016
5550-1,7017
3300-1,7017
2170-1,7017
7485-1,7018
9070-1,7018
6300-1,7018
7610-1,7018
7610-2,7018
5350-1,7018
7690-1,7018
4300-2,7018
5300-2,7018
7675-1,7018
6800-1,7018
5300-1,7018
3300-1,7018
6800-2,7018
2170-1,7018
2600-1,7018
8900-1,7019
